,datetime,machineID,volt_ma_3,rotate_ma_3,pressure_ma_3,vibration_ma_3,volt_sd_3,rotate_sd_3,pressure_sd_3,vibration_sd_3,volt_ma_12,rotate_ma_12,pressure_ma_12,vibration_ma_12,volt_sd_12,rotate_sd_12,pressure_sd_12,vibration_sd_12,e_error1,e_error2,e_error3,e_error4,de_error1,de_error2,de_error3,de_error4,m_1,m_2,m_3,m_4,dm_1,dm_2,dm_3,dm_4,f_1,f_2,f_3,f_4,df_1,df_2,df_3,df_4,model,age
146016,2015-01-01 06:00:00,51,194.99732983371464,386.26372497710867,127.09027133934997,40.4798449743785,6.27951640725034,61.71781131820712,20.39302673277659,15.063682863122716,184.59666006807666,365.79594061763896,120.64194741928215,40.94918143325305,14.66217582283725,45.96470057049483,15.650238494187388,7.553711300082672,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,model4,19
146017,2015-01-01 09:00:00,51,194.99732983371464,386.26372497710867,127.09027133934997,40.4798449743785,6.27951640725034,61.71781131820712,20.39302673277659,15.063682863122716,184.59666006807666,365.79594061763896,120.64194741928215,40.94918143325305,14.66217582283725,45.96470057049483,15.650238494187388,7.553711300082672,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,model4,19
146018,2015-01-01 12:00:00,51,179.4136146123906,384.66148207051725,129.6189155312123,41.889877380097595,11.305323299897458,41.05025721139724,17.701893458846694,5.466729233918568,184.59666006807666,365.79594061763896,120.64194741928215,40.94918143325305,14.66217582283725,45.96470057049483,15.650238494187388,7.553711300082672,1.0,0.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,model4,19
146019,2015-01-01 15:00:00,51,185.9943898601733,331.8283838241943,120.52664232386296,41.48298636736397,26.011672082175835,31.23562083503113,5.797983339451271,5.643324577560055,184.59666006807666,365.79594061763896,120.64194741928215,40.94918143325305,14.66217582283725,45.96470057049483,15.650238494187388,7.553711300082672,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,model4,19
146020,2015-01-01 18:00:00,51,177.98130596602797,360.4301715987353,105.33196048270327,39.94401701117213,8.210071749925936,47.05456001386199,7.028646757703932,4.644839483056972,184.59666006807666,365.79594061763896,120.64194741928215,40.94918143325305,14.66217582283725,45.96470057049483,15.650238494187388,7.553711300082672,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,12.0,12.0,12.0,12.0,model4,19
146021,2015-01-01 21:00:00,51,201.4610605957473,357.1991065441386,97.10190664613377,40.852858510313176,8.718382133185093,51.16321928234641,7.345797741060979,1.9812515440095955,186.21259275858492,358.52978600939645,113.14485624597808,41.04243481723672,16.335395142586556,41.76647881185127,16.049869516241493,4.055617662552011,1.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,15.0,model4,19
146022,2015-01-02 00:00:00,51,194.0723623322716,402.2092529942013,91.02130750487072,36.58176954528303,2.646730121894003,14.627929646561595,6.194386722329381,2.1938864832644533,189.8772796885552,362.9167287403174,103.4954542393927,39.715407858533084,15.312432940633766,42.30912150292267,12.864493226533764,3.898607214768155,1.0,1.0,0.0,0.0,0.0,0.0,3.0,12.0,0.0,0.0,0.0,0.0,18.0,18.0,18.0,18.0,0.0,0.0,0.0,0.0,18.0,18.0,18.0,18.0,model4,19
146023,2015-01-02 03:00:00,51,183.1942763325269,374.94740912635694,91.75170316944089,44.41751690085287,11.65985427476538,76.70568521647445,10.938028227784605,8.428630447365215,189.17725130664368,373.69648506585804,96.30171945078717,40.44904049190531,11.987658377218708,48.28626206143666,9.120705064018942,5.188079020220318,1.0,1.0,0.0,0.0,0.0,0.0,6.0,15.0,0.0,0.0,0.0,0.0,21.0,21.0,21.0,21.0,1.0,0.0,0.0,0.0,0.0,21.0,21.0,21.0,model4,19
146024,2015-01-02 06:00:00,51,168.5130835707342,354.32901383126233,107.50108666767166,45.974702251118835,13.178243944720284,55.36551317620965,12.368523477922352,3.0665506717751034,186.8101957078202,372.17119562398983,96.84400099702926,41.95671180189199,15.465520711515108,50.37947319848363,10.661441795125507,5.5209764918148645,1.0,1.0,0.0,0.0,0.0,0.0,9.0,18.0,0.0,0.0,0.0,0.0,24.0,24.0,24.0,24.0,1.0,0.0,0.0,0.0,0.0,24.0,24.0,24.0,model4,19
146025,2015-01-02 09:00:00,51,185.79333376373822,352.9999288127771,92.8684815889149,35.17971050713536,23.631767051772655,15.37844382724333,7.465476056190238,3.960560262804292,182.893263999818,371.12140119114946,95.78564473272456,40.53842480109754,15.871519215490618,46.293082941714395,10.819377528642889,6.5282857464767385,1.0,1.0,0.0,0.0,0.0,0.0,12.0,21.0,0.0,0.0,0.0,0.0,27.0,27.0,27.0,27.0,0.0,0.0,0.0,0.0,3.0,27.0,27.0,27.0,model4,19
